age,study_hours,study_seatings,social_media_hours,attendance,skill_hours,semester_gpa,cumulative_gpa,credits,family_income,english_proficiency_basic,english_proficiency_intermediate,health_issues_no,health_issues_yes,health_issues_no,scholarship_yes,gender_male,transportation_yes,disabilities_yes,skills_cyber_security,skills_machine_learning,skills_networking,skills_other,skills_programming,skills_software_development,skills_web_development,interest_area_data_science,interest_area_hardware,interest_area_machine_learning,interest_area_networking,interest_area_other,interest_area_software,interest_area_ui/ux
22,2,1,2,95.0,2,2.68,3.15,88,20000,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
23,1,1,1,99.0,2,2.68,3.15,88,15000,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
23,2,1,1,96.0,2,2.68,3.15,88,30000,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
21,3,1,1,95.0,2,3.65,3.15,11,45000,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
22,1,1,15,100.0,1,2.68,3.15,88,90000,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
21,2,2,2,80.0,1,2.68,3.15,88,35000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
20,2,1,3,95.0,3,2.68,3.15,88,20000,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,4,2,2,88.0,2,2.68,3.15,11,100000,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
23,6,2,3,100.0,2,3.84,3.1,73,30000,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20,2,1,6,80.0,2,2.68,3.15,11,70000,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
24,2,1,4,90.0,4,2.68,3.15,113,40000,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,2,4,1,100.0,2,2.68,3.15,11,10000,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
20,2,1,2,82.0,4,2.68,3.15,36,40000,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
22,1,1,1,90.0,0,2.68,3.15,36,20000,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
20,3,2,1,98.0,8,2.68,3.15,50,22000,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
23,3,2,1,85.0,2,2.68,3.15,126,45000,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,4,1,3,90.0,1,2.68,3.15,88,40000,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20,2,1,5,90.0,1,2.68,3.15,11,50000,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
22,3,1,4,90.0,2,2.68,3.15,88,50000,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
23,2,4,6,88.0,1,2.68,3.15,112,30000,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,3,4,1,95.0,5,2.68,3.15,11,40000,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
19,1,1,1,95.0,1,3.5,3.58,35,30000,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
21,4,2,1,90.0,2,3.38,3.82,27,40000,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,2,2,1,90.0,1,2.68,3.15,88,30000,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
22,9,3,1,88.0,1,2.68,3.15,113,62488,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
19,3,2,2,100.0,3,2.68,3.15,11,35000,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
22,1,1,10,80.0,2,2.68,3.15,36,100000,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
22,3,2,3,80.0,3,2.68,3.15,36,30000,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
21,2,3,3,92.0,1,1.89,2.69,86,20000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
19,7,3,3,90.0,1,3.7,3.77,35,62488,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
19,4,2,2,95.0,2,2.68,3.15,11,30000,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
21,5,2,3,95.0,2,2.68,3.15,11,20000,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
25,2,1,2,70.0,4,0.0,2.53,91,30000,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22,3,3,2,99.0,2,2.68,3.15,100,20000,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
24,2,2,4,50.0,5,2.2,2.66,110,60000,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22,1,1,4,100.0,4,2.6,2.6,90,62488,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22,3,1,3,95.0,0,2.7,2.91,120,150000,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
23,2,2,1,90.0,2,2.87,2.99,120,30000,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
20,4,4,1,95.0,4,2.68,3.15,50,25000,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
23,2,1,4,70.0,4,2.68,3.15,100,200000,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
26,1,1,1,85.0,1,2.68,3.15,77,50000,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
22,3,5,1,99.0,3,2.68,3.15,100,40000,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
23,1,1,1,70.0,1,2.7,2.92,76,15000,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
21,2,1,1,73.0,2,2.68,3.15,126,75000,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
22,2,2,1,100.0,2,2.68,3.15,126,40000,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
23,3,2,1,70.0,2,2.98,2.96,118,20000,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
21,1,1,2,75.0,2,2.68,3.15,126,40000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20,5,2,7,80.0,2,2.68,3.15,11,62488,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
21,6,3,2,88.0,4,2.68,3.15,100,62488,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22,3,4,2,99.0,7,3.52,2.9,100,15000,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
23,4,5,3,100.0,2,3.48,3.08,68,20000,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
25,2,1,3,90.0,3,2.68,3.15,126,63000,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22,1,2,3,80.0,3,2.68,3.15,126,50000,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
20,2,2,5,90.0,2,2.68,3.15,65,40000,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
25,6,4,2,2.0,4,3.16,2.68,121,60000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,2,3,1,87.0,1,1.92,2.42,39,60000,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20,2,1,2,80.0,4,2.68,3.15,36,30000,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
27,5,2,6,50.0,2,2.68,3.15,113,7000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
22,8,3,4,99.0,4,2.68,3.15,126,20000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20,3,3,1,99.0,1,2.68,3.15,11,20000,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
22,1,1,5,70.0,1,2.68,3.15,77,20000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
21,7,2,1,100.0,3,2.68,3.15,11,30000,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
23,2,1,1,75.0,3,2.68,3.15,136,35000,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
23,6,3,6,100.0,2,2.68,3.15,88,62488,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
25,2,2,1,100.0,2,2.68,3.15,88,60000,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
20,4,3,2,88.0,3,2.68,3.15,11,60000,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
21,2,2,2,80.0,2,2.68,3.15,36,50000,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
26,2,2,3,80.0,2,2.68,3.15,77,30000,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
23,5,5,3,90.0,2,3.29,3.23,114,28000,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
22,3,1,3,100.0,3,2.68,3.15,126,60000,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
23,2,2,1,100.0,3,2.68,3.15,136,90000,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
24,3,2,3,80.0,4,2.68,3.15,113,200000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,4,2,1,100.0,1,2.68,3.15,88,50000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22,3,1,5,80.0,3,2.0,2.22,77,4000,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
19,3,2,3,90.0,1,2.68,3.15,11,40000,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
21,5,1,3,80.0,2,3.3,3.24,105,80000,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
23,3,2,2,90.0,3,2.68,3.15,113,35000,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
21,1,1,12,90.0,6,3.01,2.76,79,65000,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
23,4,1,2,97.0,4,2.68,3.15,136,20000,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22,3,2,3,95.0,2,3.2,3.3,103,40000,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
23,3,2,2,80.0,2,2.68,3.15,136,100000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
20,4,1,6,90.0,2,2.68,3.15,11,50000,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
25,1,3,1,90.0,1,2.68,3.15,136,20000,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20,3,2,4,90.0,2,2.68,3.15,11,30000,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
23,3,2,4,40.0,2,2.4,2.4,70,60000,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
23,4,2,2,90.0,1,2.68,3.15,88,50000,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
22,4,2,2,90.0,2,2.16,2.75,35,40000,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22,8,3,3,90.0,2,2.68,3.15,100,40000,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
23,5,3,2,5.0,2,2.68,3.15,88,12000,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
21,5,3,2,97.0,4,0.0,2.31,46,50000,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20,2,3,3,80.0,3,1.75,2.51,50,50000,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
22,4,2,4,90.0,2,2.68,3.15,88,10000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
22,2,2,4,90.0,0,2.68,3.15,88,50000,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,3,2,0,92.0,3,2.68,3.15,11,100000,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
